UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:40:06.000Z,"Repeal WEP
@RepealWEP_NOW
路
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@ChrisCoons
@SenBrianSchatz
@RepJerryCarl
@RepMikeRogersAL
@RepTerriSewell
@RepCiscomani
Show more",鈥?馃憞 馃枈 鉃?馃懏 馃泜,,,,"['https://pbs.twimg.com/profile_images/1717294132954005504/uNC0kGJJ_normal.jpg', 'https://pbs.twimg.com/media/F94OEjjWYAA3lRi?format=png&name=900x900']",https://twitter.com/RepealWEP_NOW/status/1719861904682684454
Bill Gore,@billgore22,2023-11-01T21:35:38.000Z,"Bill Gore
@billgore22
路
Nov 2","Does anyone know if there bipartisan support in our region (
@ChrisCoons
, 
@CoryBooker
) for 
@SenJoniErnst
's ACCESS bill? The PA/DE/NJ area is hemorrhaging SB contractors and teaming partners. We could really use limits on double-counting awards and some real accountability.",,1,,,[],https://twitter.com/billgore22/status/1719830583918866905
Senator Chris Coons,@ChrisCoons,2023-11-01T20:06:45.000Z,"Senator Chris Coons
@ChrisCoons
路
Nov 2","America can't turn its back on our allies. 

Delivering lifesaving humanitarian assistance to our international partners should not be caught up in partisan games. https://cnn.com/2023/10/31/politics/senate-gop-split-israel-aid/index.html鈥?,,13,2,11,[],https://twitter.com/ChrisCoons/status/1719808213363696077
Anano Mixe,@Milkisham,2023-11-01T19:32:57.000Z,Anano Mixe",,,,,,
@Milkisham,,,,,,,,,,
路,,,,,,,,,,
Nov 2","Ethiopia's access to the sea is a fundamental right - PM Abiy Ahmed highlights the UN agreement #EthiopiaRedSeaAccess #EthiopiaDevelopment 
@hawelti
 @shabait
 @JosepBorrellF
 @trussliz
 @UKParliament
 @WorldResources
 @MikeHammerUSA
 @Reuters
 @ChrisCoons",,,,,['https://pbs.twimg.com/card_img/1731379042740281344/oWSg7Lc5?format=jpg&name=900x900'],https://twitter.com/Milkisham/status/1719799707650711986,,,
Anano Mixe,@Milkisham,2023-11-01T19:32:55.000Z,"Anano Mixe
@Milkisham
路
Nov 2","Investing in the sea is investing in the future - PM Abiy Ahmed advocates for Ethiopia's economic growth #EthiopiaRedSeaAccess #EthiopiaDevelopment 
@hawelti
 @shabait
 @MikeHammerUSA
 @Reuters
 @ChrisCoons
 @bpolitics
 @BBCAfrica
 @HouseForeign
 @CNNAfrica",,,,,['https://pbs.twimg.com/media/F8WIL_CXYAE5w_A?format=jpg&name=900x900'],https://twitter.com/Milkisham/status/1719799700616802499
Anano Mixe,@Milkisham,2023-11-01T19:32:31.000Z,"Anano Mixe
@Milkisham
路
Nov 2","Ethiopia's rights to access the sea are rooted in geography, history, ethnicity, and economics- PM Abiy Ahmed #EthiopiaRedSeaAccess #EthiopiaDevelopment 
@hawelti
 @shabait
 @MikeHammerUSA
 @Reuters
 @ChrisCoons
 @bpolitics
 @BBCAfrica
 @HouseForeign",,,,,['https://pbs.twimg.com/card_img/1731379042740281344/oWSg7Lc5?format=jpg&name=900x900'],https://twitter.com/Milkisham/status/1719799599051702659
PatientQoL Coalition,@PatientQoL,2023-11-01T19:18:12.000Z,"PatientQoL Coalition
@PatientQoL
路
Nov 2",".
@ChrisCoons
 Please cosponsor #PCHETA! It will advance palliative care education, awareness & research and improve quality of care & quality of life for millions of patients & families facing serious illness. This bipartisan bill is endorsed by 90+ orgs. 
@PatientQoL
 #HPM #HAPC",,,,,['https://pbs.twimg.com/media/F93xU87awAA71US?format=jpg&name=900x900'],https://twitter.com/PatientQoL/status/1719795997969400146
Senator Chris Coons,@ChrisCoons,2023-11-01T19:10:33.000Z,"Senator Chris Coons
@ChrisCoons
路
Nov 2",President Biden knows that there has to be a path forward for Gaza on the other side of this conflict.,,8,4,7,['https://pbs.twimg.com/ext_tw_video_thumb/1719793724480192512/pu/img/lqs_zZ2VyVDfqobz.jpg'],https://twitter.com/ChrisCoons/status/1719794069625328047
